,id,alg,cell_type_maze_tu,cell_type_maze_s,cell_type_maze_T,cell_type_maze_c,sol_type_maze_tu,sol_type_maze_s,sol_type_maze_d,sol_type_maze_len
0,aea1f68e-4cd5-4b5c-a54c-fbef633506d0,problog,5,4,10,2,1,0,7,9
1,90eac62f-02e6-42db-a4e0-227acc3bbfc1,problog,4,7,8,4,1,1,6,9
2,d6b5c1e3-bdab-4795-8d6d-d93b6c8512ff,problog,7,5,6,1,3,0,6,11
3,f1b244c2-3429-48c4-8cb5-5be4b9bd2856,problog,7,4,7,2,2,1,4,9
4,2c2c3499-5ae0-4269-abeb-b709194271e0,problog,6,3,9,4,0,0,7,9
5,8850381e-e11c-42ac-963b-026d0356eabf,problog,8,4,6,1,3,0,4,9
6,10d210ae-33e2-446b-a9a2-a37d34b44306,problog,9,3,10,1,1,0,7,9
7,161b6aa4-7ae8-49d7-bc0b-f5315c17fbdd,problog,6,3,9,0,2,2,5,9
8,7528fccc-04f6-402a-9031-8531880ac0fd,problog,9,6,6,0,4,2,4,11
9,33148995-7649-4b66-8c54-c779c9aa3478,problog,5,1,8,5,0,0,7,9
10,a8d6f28d-b56d-4b7b-a16b-6648e93cc2cf,problog,6,3,11,2,3,1,5,9
11,5245045c-bacf-40c9-a022-f08a57b42009,problog,8,2,9,1,3,0,5,9
12,c0676998-0b86-4dd9-8c38-ed9584e20a9e,problog,7,6,9,0,4,3,4,13
13,9e4a177d-1e4b-47d4-9877-96058d8fe250,problog,7,6,4,2,2,1,5,9
14,c53a9c9d-43ee-4fe7-ac14-4ae79bce32eb,problog,6,5,5,4,3,1,5,9
15,95e14046-039d-47ba-b3f1-d292267b9854,problog,8,2,8,3,2,0,6,9
16,a38a541c-5bf5-4c2d-865c-4b92a4f13a76,problog,7,2,12,2,2,0,7,9
17,e771d667-cc53-4f91-af61-1d1998337048,problog,8,2,6,3,2,2,4,9
18,374f656a-5d31-44c0-b642-316c6442760d,problog,5,8,6,0,1,3,3,9
19,882e0956-1cf0-4af0-ad8e-e1ee14b22f94,problog,3,5,12,1,2,3,3,9
20,e754f255-bef8-49f8-9a5b-c5ca44e1f0ac,problog,6,5,5,2,2,0,6,9
21,0225330e-7bcb-47f4-8892-a1c50b6f1bde,problog,9,3,6,1,3,2,5,11
22,97d56387-310b-4832-b819-9ee54245f3dd,problog,3,4,10,2,1,0,7,9
23,eedf06c8-37ab-492f-87a1-675dc3a669b5,problog,5,4,10,0,1,0,7,9
24,781f22e3-727b-4492-89dd-5840c6a6a122,problog,5,4,10,0,3,1,4,9
25,76cafb3c-2f88-4001-881f-1e825eda8d24,problog,5,4,9,2,0,2,5,9
26,6ccefe53-adb4-4787-94f7-4c955d3dc6af,problog,5,4,10,2,3,0,6,9
27,3098a7bc-a2cc-4d4f-afa0-7233e26692aa,problog,8,2,10,3,1,0,7,9
28,0177aa7a-7b5c-4816-8681-3bf3a3cd579d,problog,5,3,10,1,2,1,5,9
29,ae6e2a3a-878a-4e6b-b3a9-35dfb3e2c423,problog,7,3,7,3,3,0,5,9
30,87908191-5d69-4388-80fa-f1901e534ee3,problog,5,3,8,3,1,1,6,9
31,f9b796a1-a322-485a-a2da-91c5aa80c322,problog,5,4,6,4,0,1,6,9
32,d46a3e43-d69f-43d7-9cff-7bea60e7f5bd,problog,8,3,5,4,3,2,4,9
33,3216f05e-9f73-4d80-b335-ffa0dab29d9e,problog,5,7,10,1,3,1,5,9
34,62a45d61-828a-45c7-850a-b06f546f33b4,problog,7,2,7,2,2,1,6,11
35,905f1d81-acdb-4dbb-bceb-9227813c3852,problog,3,4,8,2,0,3,4,9
36,928b01a3-eb2b-4b04-90a4-020af7cc3030,problog,5,6,8,0,3,1,5,11
37,da3b52d9-424f-4fd7-ae9e-5a556602a86b,problog,6,6,4,3,1,1,5,9
38,c7a99322-4fa1-406d-af24-e10c5e5739cf,problog,5,6,8,0,2,4,3,11
39,24aadb36-55b2-405e-af20-801e7f7102a3,problog,5,7,8,1,2,0,6,9
40,a8082a36-ac93-4c02-851c-a3af6e582f12,problog,6,6,9,1,0,0,7,9
41,d2d34a1b-765e-437e-a9b7-49a6cd6bdd89,problog,6,2,11,1,1,1,6,9
42,2b712b62-9a64-4657-b9c2-40563b23a4ea,problog,8,7,7,0,4,2,4,11
43,a88073cc-ed2b-4e31-9fc3-c21bda57e94a,problog,4,11,6,0,3,5,1,9
44,8aad7f26-9ec0-4a78-bbd3-d087a007a835,problog,5,4,10,2,2,1,6,9
45,c6ff8175-86f8-4569-81b3-1517af175177,problog,7,6,7,4,3,2,4,9
46,d6eaba6b-6eba-4bf5-881e-336dfc0deefc,problog,8,2,6,3,2,0,6,9
47,4bed2967-a2cd-4e7d-ab01-1e40cf699157,problog,7,8,10,0,3,2,4,9
48,f3e9c944-e08c-4046-8cfe-e86b7fad6ad7,problog,6,4,11,3,1,1,6,9
49,0c1231cf-bad3-4333-8ccb-52ef7ad393c4,problog,6,5,5,2,1,0,7,9
50,85bdaacb-95b2-4103-87da-eca05b2364c2,problog,5,4,9,0,0,2,5,9
51,da59d6ef-c15e-4c34-a585-bd1523518078,problog,7,6,7,0,3,2,4,9
52,2778105f-84d3-4f51-8069-8ef0b6d8c0f9,problog,5,4,8,2,2,1,5,9
53,1f8d0ef8-5499-49f0-8138-b6c11b270d6d,problog,7,5,8,1,4,1,4,9
54,f5ffe969-fdad-4929-a5c9-e5911ee50ba4,problog,6,6,7,1,2,0,6,9
55,92888a62-4cfd-448d-967c-c9b5d6a17842,problog,6,4,10,1,2,1,5,9
56,c4f01408-b89e-484a-a677-6e57752ca12f,problog,5,7,8,1,2,2,5,9
57,ca0c0767-d382-4e61-a9a9-6dbdb54de0a5,problog,4,3,8,2,1,0,6,9
58,3ef9fe7d-b56e-46c1-a627-1986ee22e5f8,problog,6,2,11,1,1,1,6,9
59,22ba0c5f-4f1f-40b8-aeb3-dca27eccebb2,problog,6,2,7,3,1,2,6,11
60,eba98431-3bb1-4904-b980-f9e863e96c50,problog,11,5,5,1,3,2,4,9
61,996e74ca-4846-4d1c-8ce4-c941e0fabff7,problog,9,1,7,3,2,0,5,9
62,2dfb4986-d750-4efb-bbbf-6e1174aab316,problog,6,2,9,1,1,0,6,9
63,93c110d6-19ae-4b94-a0ec-559c2ed301e2,problog,6,3,9,2,1,0,6,9
64,ce680296-116c-4347-8d9c-9c8612272924,problog,8,4,9,1,3,2,4,9
65,9afa9552-5bad-46db-a246-594faf13cae7,problog,5,5,8,1,2,2,4,9
66,2e3767ba-4d0c-455a-91cd-71b55690affc,problog,5,2,12,2,3,1,4,9
67,37f49326-daf3-402f-a4ff-3cf35141aa36,problog,8,5,6,2,2,1,6,11
68,cd5e4caf-4d77-4c34-84b0-7b4f38e30cad,problog,8,2,8,1,1,1,6,9
69,2c5059f6-21d3-4229-a095-88089313af6a,problog,7,7,8,1,1,0,7,9
70,8bdd8d29-389d-455f-a2e9-de272f24c109,problog,5,6,8,2,1,2,5,9
71,069321af-b3ea-4832-b40a-eda3d920b10d,problog,6,8,5,1,3,2,5,11
72,596dab30-ef78-4d98-a91b-3d807f65e7e1,problog,7,6,6,2,4,4,4,13
73,e81eba81-0e33-494c-a99d-d34d9eaa30b9,problog,6,5,6,4,0,2,5,9
74,11f9f86b-bb4a-4103-9362-29205fc47f62,problog,7,3,11,1,2,0,6,9
75,07e2ba2c-d60c-4b21-aad0-0902bea1388d,problog,7,5,9,1,2,2,4,9
76,c8348850-fc21-4635-89dd-c9ce3481a43b,problog,6,9,2,2,2,1,4,9
77,d6fe5e77-c2a7-4050-8f20-d6cb9bb03a55,problog,7,2,10,2,1,0,7,9
78,563689a4-c7d7-4de5-827c-d648722157dd,problog,7,2,7,2,1,0,6,9
79,f0c95aa0-f8aa-4463-a18a-0905a1762328,problog,5,7,7,1,3,2,4,11
80,dbaed47b-0513-4927-8177-3d7377184dd5,problog,7,4,10,2,3,0,6,9
81,6dde168e-6f61-4e6c-87ea-46f611c20659,problog,5,6,11,0,2,1,6,9
82,d998a663-321b-4a7d-bcca-778ea8178dca,problog,4,5,9,2,1,1,5,9
83,96253fb8-9a17-4aa6-b3a9-b89eef0e6be5,problog,10,2,9,1,1,0,6,9
84,2e6974c5-b80a-4346-9f60-83fbebec9c87,problog,9,10,3,0,3,6,2,13
