,id,alg,hash,cell_type_maze_tu,cell_type_maze_s,cell_type_maze_T,cell_type_maze_c,sol_type_maze_tu,sol_type_maze_s,sol_type_maze_d,sol_type_maze_len
0,716891dd-1f93-481a-a514-9cb05ce4f827,problog_learnt,31538b6de2c87ee6c164b7e4e263ad03,9,7,7,1,3,1,5,9
1,5b273f4e-f134-408d-884c-c6495f4450f7,problog_learnt,8214c00b8bca206ccd53b1e91c5b81ac,6,9,5,0,3,5,1,9
2,428a7af8-36cb-4e10-9924-e5c0b74f82c9,problog_learnt,4343327b53a5e70e4b7af968133bc7c2,3,7,5,3,2,3,3,9
3,8e17ce44-bfbb-4615-bce5-7425786fbb07,problog_learnt,6b78aba759a156e17185e8b62f38ceda,4,5,10,0,1,2,8,13
4,7c71d00d-2b54-4fe1-b6d8-50c6b81aacdf,problog_learnt,3b9fa5d8c56e77991b5506900d0558f7,6,6,7,1,1,3,4,9
5,efffbcf3-2240-4c04-857c-545637cfe22d,problog_learnt,3176f35fcc811e016f1f285d6e63b1d4,4,6,8,1,3,1,5,9
6,8c998cf9-db94-4a3b-87cb-9211bc327143,problog_learnt,1ceaaae6c97eaa38c43c0f614d96a57a,7,3,9,3,2,0,6,9
7,ba9985d9-fb78-4390-81bb-8af19e8c42a8,problog_learnt,767b8ece77ab0181fde68bc74337de3d,7,8,5,2,3,4,5,13
8,40f442ef-58fc-4574-ab3c-be132f1afe3b,problog_learnt,04fa94066fb93be98ba9d51333a54342,4,7,7,0,4,4,4,13
9,87375ee4-d01b-406f-abb0-a68e20bb3cce,problog_learnt,6c8c0d34a747dd56022e491f5ff18aa1,10,3,10,0,3,1,5,9
10,781fba5a-e423-4ffa-82f7-5d4c1ef8a70c,problog_learnt,967fa205d2f34a61a93c65c1f76c34d5,6,5,9,2,1,3,3,9
11,84469dd6-b740-4b93-88ed-801008ab6b83,problog_learnt,6007c76da9ec3c43f798b6a215a8cbf7,6,3,13,2,1,2,5,9
12,54f4ae1b-e81c-4865-8791-9eddf277b5bd,problog_learnt,bdfb21a587a3386a34d3c76085c216b5,5,6,8,0,3,1,5,9
13,ba18b9e7-15e1-49e0-b339-c9bcc6ab7c47,problog_learnt,c8f8efe6d3f0b353f55c543f8bbf43ce,7,2,9,2,2,1,5,9
14,d8aca10e-8376-48af-b5d1-eb3ccc7f0da0,problog_learnt,f39b45a4339dda8c180784f1207eb299,5,3,11,3,4,0,5,9
15,15dcf111-d8d3-4be8-81ad-8ba2c9cf9478,problog_learnt,078e7d25232678437fb0ff876ba6dfad,7,6,5,4,3,1,5,9
16,585b30b0-8e12-42ea-bee9-3b4590ea9f1a,problog_learnt,d7cfb573828ac3273badaca77ce9acf3,10,7,5,0,4,1,4,9
17,fe013dd4-bd17-4cd5-b0a3-4a6685a020f6,problog_learnt,710b4b40d537bc33a3d67a6f50617482,5,9,5,1,2,4,3,11
