,id,alg,hash,cell_type_maze_tu,cell_type_maze_s,cell_type_maze_T,cell_type_maze_c,sol_type_maze_tu,sol_type_maze_s,sol_type_maze_d,sol_type_maze_len
0,6f1e567c-e6c2-4722-88ee-dfae068f8e15,problog_learnt,2d86a6a2cd4654a11ef73e63187d7350,6,6,8,1,2,2,4,9
1,e7fcc994-45be-4329-955c-fdaec8dea6d8,problog_learnt,acc1c5237c50fca59d5493be18a7a5f5,5,3,11,1,2,0,5,9
2,21a6213e-8388-4cbf-b609-25b381daf208,problog_learnt,9b65b4eccf661f693753918ede457703,6,5,8,0,3,2,5,11
3,85989295-16b7-450d-bdde-40246ef5d4ef,problog_learnt,7f87b30f4f765004de3b14673f6698c2,3,7,8,1,3,3,4,11
4,94189157-13c9-4db6-9b10-052317f58c59,problog_learnt,28edd62c78f921f92f7d91231b1fe966,5,9,6,1,2,5,1,9
5,07f6ddeb-776a-4bb7-ac14-2ed7e6d33a04,problog_learnt,b2fec4796188fdc9ddedd3a1c9309257,8,4,4,5,2,1,5,9
6,11b6e2de-bde7-4aa6-a104-307de3464aa3,problog_learnt,6da7f72bb913a38a63a01ede4ab416d0,6,8,4,1,3,1,4,9
7,22889da5-b579-4d2e-a07a-dfe92e47b3db,problog_learnt,ab7e1379c372b7e1b26c17b7e887e528,8,11,5,0,4,2,3,9
8,d3c49cbf-9b6e-4636-8f56-68c736c52982,problog_learnt,1294122dd0a3d00828a4fd7dae41fd2a,6,6,6,1,2,4,2,9
9,74a5c559-1d27-4cb7-afc9-b4c836d798e1,problog_learnt,325ddd5f7e233d639ea15d510ee3ff86,4,5,10,0,2,2,6,11
10,9d5620ac-4e25-4354-8e44-d4b39d6e8c9b,problog_learnt,d1853f4f54b3459500d0d77cb06556ff,8,4,6,3,4,1,4,9
11,8190a546-3f5c-4e53-9297-548292dccc49,problog_learnt,dd5c98b5c1dc29b10536335395883e93,8,4,8,1,2,2,4,9
12,79bebf96-ad64-4cae-99e2-0efb1defeaf2,problog_learnt,6c65828b766d5f5effd8345bea490cae,6,4,9,1,1,1,6,9
13,74f38476-ebc6-4ba8-866b-0533867fb890,problog_learnt,d5b66c1175a7c1949b7ce9b84ba85648,7,3,11,1,4,1,4,9
14,5fb6d85c-0844-4456-b7d7-1a5d5ad215de,problog_learnt,f077a6a0561c44ffacdcc1240acbc3bc,6,7,4,2,1,0,6,9
15,9beee33a-509d-44aa-bf0e-34401238d59b,problog_learnt,ce7082b6ed2d89fcfd2b713c6c3dd0f2,5,4,10,2,1,1,6,9
16,aaf32ec9-73bf-4224-b9f3-e96b93c85c9d,problog_learnt,ee3fe44f5d8af2f861221ab4765d81ef,4,8,6,1,2,3,3,9
17,123e4ff3-0667-4756-a79f-14fbbf82fe50,problog_learnt,88fb314d7dc5c7eccf7e758e939a6ea5,5,6,11,0,2,3,3,9
18,f4775303-16f9-413e-8361-b1746c6dfb03,problog_learnt,144537c5cd0a63dc48c0e8bde91b4f57,11,4,5,0,4,0,4,9
19,049ce927-19b2-4fae-8b51-be7403133825,problog_learnt,e0d709ac0cf79de4b852808c8dd19fc1,7,5,6,3,4,1,4,9
20,eb32faa4-6397-4b53-b336-96cc09d9bb70,problog_learnt,f2a3a48ca0d34a40c518c029a005ded2,7,5,9,1,3,1,5,9
21,871be021-babb-4537-b97b-43249b3a8d05,problog_learnt,0a98a8b11f75abe1546fa2bbc8a27e6f,7,6,6,2,3,2,4,9
22,0ae4a8c7-752c-4c0b-b643-4e9dad8792d0,problog_learnt,273a1093bf3197d8186345c3f241b10f,8,6,9,1,4,1,4,9
23,f9acc5d0-aa7e-4799-88b0-02c43917f662,problog_learnt,34f38144dcea890c2779046b77cc037c,4,7,10,0,1,1,6,9
24,1c95884a-87f3-4503-afb2-9263fcf26fd0,problog_learnt,bb1fd1d9b4f9cf416a7298ba9277f073,5,6,7,2,1,1,5,9
