,id,alg,hash,cell_type_maze_tu,cell_type_maze_s,cell_type_maze_T,cell_type_maze_c,sol_type_maze_tu,sol_type_maze_s,sol_type_maze_d,sol_type_maze_len
0,6e3ee42d-c382-42d2-8ad0-3d382c7d1334,problog,7c75c01aec299609cbb9336c0c461c14,6,4,8,1,3,1,5,9
1,b1980f4d-19c7-4ab7-9641-5a77cddefbc0,problog,5d5322854c7fb127d207dc16a5c68104,7,5,7,1,2,2,4,9
2,926a5f68-4bfe-4c05-99ea-d7164f9db63d,problog,db3af46ef57d5b0479a40c6d718ba357,6,7,6,0,2,2,4,9
3,f42a88de-4222-4d5f-b241-315a2bb7da6c,problog,9cbbac9a25938ed5a3837bbcf0351795,3,4,6,2,0,2,5,9
4,2bf36ab1-f114-4c0f-bb08-6ed6be12ed52,problog,7eda8d356e6f1a75f55029f5ec9337e1,5,1,8,1,1,1,5,9
5,5058bfc9-95ba-47f6-84a5-063db6c68c98,problog,db51f4fbd996542ed46edb39470bd11b,8,1,5,4,2,1,4,9
6,3af8b764-ee09-4b0d-a7dd-dce4f6d67be3,problog,514729cf92a523e6380d20dc8de95e3c,5,3,11,1,2,2,4,9
7,306f16ca-a978-4af8-b70d-572cf29df7ba,problog,e406b751929f09246d0046543808c86d,9,0,9,2,1,0,6,9
8,5803ff55-a204-4fac-baa9-2c34f0b982e1,problog,aa940097fbd46d60988645edeee0f1e3,5,4,8,2,0,0,7,9
9,dcb68179-2a45-4ae9-a4c9-6697ab36e7e4,problog,92db4c4bd5fe03f868716c10d24ea2e8,10,4,8,1,3,3,3,9
10,d0f1ebaa-6d6b-48a2-8cae-80dd9e78d654,problog,06766eacfe235e291250ca9695355c0a,9,2,9,0,1,2,5,9
11,2954907a-125b-4681-9568-0f724f4b3358,problog,7d5a712ec765c016574429ba1dd36e7a,9,4,10,0,3,0,5,9
12,e2879a18-0cfa-480f-9c06-865157ba3934,problog,8e17a1e933bd25ae94f5854cbd286a8a,11,3,7,1,4,3,2,11
13,088b2608-661e-4119-ab01-0de65b49ce8b,problog,6fb66f45b466cd2177a3a9d7628c12f3,6,3,6,2,1,1,6,9
14,19bed6c7-ad0c-4a69-8d4c-fa310c28fa23,problog,136ec696ec81b07c33f7f167489234ed,6,1,10,0,2,0,5,9
15,20f53c3b-1bba-4631-a42d-cbcb46718676,problog,2ccef301ff554408ed8a069f8c8c12c6,7,5,4,3,4,1,3,9
16,2d8b838b-8496-44c3-b1b5-075c508311ab,problog,9c5b942df15ea83a10de976cacf1a75a,5,5,7,1,2,1,7,11
17,c5e7cec0-7c8c-4916-8f55-857b7ba72163,problog,725f77e7ef67383ece0d9a9497d0941c,8,4,7,3,2,3,3,9
18,a2a30b2c-597f-4adf-95da-cb6b1a33ced0,problog,ab085294fe20a86844d2e86085b7a01f,10,2,7,1,2,0,6,9
19,bbae7445-26c4-431b-8bf1-6247089242c8,problog,1acbea808dc1d73efaa14c368cb2faad,6,3,6,2,3,1,5,11
