,id,alg,hash,cell_type_maze_tu,cell_type_maze_s,cell_type_maze_T,cell_type_maze_c,sol_type_maze_tu,sol_type_maze_s,sol_type_maze_d,sol_type_maze_len
0,601788e9-5308-43ef-8f83-ee0802a22ffe,problog,da7775ca0558f5444e01cf08c31484aa,6,2,5,5,1,0,6,9
1,b7270d1f-595d-47bc-a37d-fd2cd419bc9b,problog,4e8e4469ce1f263373b00f99367a5056,9,4,7,2,3,2,4,9
2,75839655-caf0-44c1-acd8-c7662ca0edad,problog,eb9e248831ff4c8e4aedc00fa77b35c3,5,7,7,1,2,3,3,9
3,122c1ccd-d227-4dc5-b593-ff1b30f63ec3,problog,ab40734cd3251f1865adfc8c79ac30cb,10,4,5,3,5,0,4,9
4,1887408b-c087-4b80-9b6a-8d31cd14ee54,problog,386d247b5bd401ed8e8d7dd9e3917590,5,4,8,4,1,1,5,9
5,809790e0-eabd-4b2c-a913-6ae400c281bc,problog,dcbe6a09dd7aa13d833156802f0fb13d,6,4,8,1,1,2,6,11
6,e93dac94-8e59-4f73-9542-57e1ca6a8ff9,problog,6b5ae83c6006db37f50bd476d5d79368,10,5,5,0,4,1,4,9
7,7c85b5c3-7668-4276-ba27-ed9b2fd43875,problog,e79ca4459157a0bb8a7f8e270f5fa602,6,4,8,3,2,1,5,9
8,4b3a4ec3-a824-4723-bd76-206f5809fa9d,problog,8437081b0cd0e4866490ab3ad946205c,7,2,4,4,1,2,4,9
9,a30efd65-07e8-4078-9e73-8598491b8cce,problog,f80818f3d8bcda39ba376e49a42cf0e0,11,3,8,1,3,3,5,11
10,8b234ace-cf84-4086-829e-1577c32a9dfe,problog,861025c2431f2c1d0a786775a1ddb800,4,6,6,1,2,3,3,9
11,20b8e2f3-f375-44c4-ba32-a7865a56674c,problog,f5b78de86f8a3c95f451c226904f832c,7,7,4,1,2,2,4,9
12,eb7fcf73-da29-4771-a065-539e1bcdb4ca,problog,bc67f225779e22ab8088c4bd0b94c8e5,9,3,8,1,4,1,4,9
13,df8e69e5-1405-444e-8bd9-ebeee9b6eab6,problog,cb8105ef129fc5940c2fa7695025a856,10,1,6,2,2,0,5,9
14,4abb3094-61b3-49ed-981e-3cabd9b7c06c,problog,9ff8d311372c340169d58c1a93e84af3,9,4,7,0,3,0,5,9
15,76f3f9fa-2476-44b0-8645-554a22d768b0,problog,d4a76ef3c7a62c5b46886c821dba5157,11,6,5,0,4,1,4,9
16,4ea1070a-650a-4f5d-9b91-d1b27eab09ed,problog,7865a16c90e7e9ac020cce3566ed0b61,4,2,9,3,1,1,6,9
17,952ebad0-9085-4732-b82e-487541c2d116,problog,589f13b309eee1a0079aa5423c984039,11,2,5,2,4,0,5,9
18,20c8176a-1496-40b3-a882-0a2583baf396,problog,58fd26d94e5aa8bc2cf6333097d860bd,8,4,6,1,2,2,4,9
19,0ac52306-4dc1-4524-b788-09c71460b495,problog,f24c321f15e25abbf1928a0dbea59e3c,3,3,5,3,0,1,6,9
20,d6269a25-9a00-42c2-9dd8-4e710721420f,problog,14032538d369615b43190f5e6c60f8bd,4,5,8,2,3,3,3,9
21,5a9aaf9f-6232-421f-8422-39469f82e29d,problog,633db0d01ad2586548b06dd536cc9240,8,3,6,2,2,2,4,9
22,8a2a45a8-0515-401d-8c79-53b1c0f24e4a,problog,76e0631319a0323b3cad44ba1b4e6bb9,12,5,5,0,5,3,4,13
23,926a5f68-4bfe-4c05-99ea-d7164f9db63d,problog,db3af46ef57d5b0479a40c6d718ba357,6,7,6,0,2,2,4,9
24,498a490c-4686-40c1-a822-36ead6274a37,problog,927b3586062f3f8aaf204a9fdd34d413,5,4,6,2,2,0,6,9
25,0042ba27-b61a-4d7c-8592-40e1352949d8,problog,f33fdfe4d753e1e1b43976e434df8f07,7,7,5,1,4,2,3,9
26,47b83a82-4336-4376-a7c2-5b3659eeb26e,problog,319e65e132f4959a3c67487ab04ceecc,5,3,7,1,2,2,3,9
27,55ccc101-1ebe-4e7d-8e82-b439be8378f0,problog,38e9e8e6e0d62323a5e92752c8c73273,8,0,11,1,3,0,5,9
28,ef6f6465-fd48-4925-a03e-dede029463ce,problog,a0643a779f21a672c56423016f7329d0,8,5,9,0,2,1,5,9
29,770b83e3-dc76-4846-9246-cf9feb6193c5,problog,904b6d646e1c96d662463f5a37333aaf,11,5,3,1,2,3,4,11
30,d63c8129-674a-4f65-8cf4-f3aecbc5cff6,problog,c6277b1758dec537e59a1459dd035dc6,7,2,12,0,2,2,5,11
31,daeb44e2-f409-4f8f-9a9b-ea17da22bfb0,problog,c5aed5d69825a1de4061e1355ff39ed7,7,1,13,1,2,1,5,9
32,de4f1307-9a2b-4e81-a8bb-ddadc83c2309,problog,73bef65b8ed49d5bb354e4b9d420b08d,5,5,6,1,0,2,5,9
33,66367c83-9517-4f61-8d5b-e3762ae2fe72,problog,306215039d673d23df376f44fa1364cc,8,5,7,0,2,1,5,9
34,89158b53-dabd-4662-83c0-213711abe928,problog,26a3499bbd464551f4d422cf3eb05668,7,5,10,1,3,3,3,9
35,ce20bcb9-5459-4b07-86d2-6c4bcf8158d6,problog,1dbb0ffe3f680e912b3bb9be0bc4e9b4,8,5,7,0,3,1,5,9
36,2ca935b8-4a51-49da-8740-a1a09c85ed2d,problog,de2f07afb3b419411f07ddb26885cd4d,7,3,11,1,3,1,5,9
37,c9199e5d-90c2-432d-8b08-67fc6b9c9dec,problog,f8d6ea268179796134722424e7ad5c7c,10,3,7,0,5,1,4,11
38,7c4af1a3-1383-4233-bddb-22bb1755c51c,problog,ff3deb8a15a6446d5052e845be63a969,9,2,9,2,1,0,6,9
39,c5d6e99c-581c-4948-9e4f-0889e54719c1,problog,142dc671af1e922c8381dacf20512258,8,3,7,0,3,2,3,9
40,154407ca-fb1f-4ec6-b836-0266ecbe5252,problog,4710d98ddfc65f04ec4d94b45d7bd6b9,8,2,8,1,3,0,6,9
41,f0616a74-2888-44d9-b2d7-8aef80c9fd99,problog,2a6dd7911864f5c371010803d594d59a,7,4,6,0,3,1,4,9
42,1ba02505-ca89-43e3-9a52-735a53f9b32d,problog,b9a450df4e01cdc44b1b3e3e97cffc6d,10,4,7,1,2,1,5,9
43,be26b03f-df3d-4873-a0f0-88e537fde126,problog,694f80c42df93ee9988e6e1763a89770,8,2,5,1,4,0,4,9
44,31757431-d931-4a1b-87db-e1b7f1149c95,problog,254b358879389b7249050999eed74941,12,3,4,0,4,1,4,9
45,622830dc-fc9f-43c0-94a7-6bf04bebc0c0,problog,b48d0d52e3687524e4528717b23f79e1,5,4,11,2,2,0,6,9
46,4e62da86-0107-4096-bc0e-a6db306d49c3,problog,c63d648b175beebb32f43a2f82372653,8,4,6,3,2,2,4,9
47,b01fa70a-34eb-4294-be79-45483d3167c1,problog,7beeb1e5158784b8749ca3577d711e84,6,2,7,1,2,0,5,9
48,cbcc5860-487b-4111-8b73-2b9b256d4cee,problog,4147aa3d6b659687df80e1c55e6d83cb,7,6,4,2,1,3,4,9
49,d5ae4f4a-0239-414a-b0a3-db6a841efab4,problog,96169174d767d69ef4cd16f93fb62c60,9,3,5,1,6,2,4,13
50,9847cd07-1011-4ca0-abdd-bc63233801e7,problog,e57dc1d74ef82b8049e94dfe1d628fe0,7,4,9,0,4,0,4,9
51,cd37a630-6bde-43b2-a241-69620a65431c,problog,8fc29400460edc37b5c9f0514aeb21b9,8,4,7,1,4,2,3,9
52,8c015fb9-1669-4983-b46b-92733ab7d30b,problog,6ac618aea969a001e3aab6da07f2bdf6,7,3,6,1,5,2,4,13
53,6e9bc07b-9297-48cb-b0e5-b7aec8a6798c,problog,2f28cc6ac032157e49a97e883c3f2107,7,5,10,1,3,1,5,9
54,eb8b7839-ac7c-45c7-a15b-7d1271185b28,problog,62176e0396864e515e7d861e4efdad74,8,4,11,1,3,3,3,9
55,8206f9d4-44fb-47b8-8662-9af697678d1a,problog,4d13aea30605ab20a272b0c69d1975c0,11,3,6,1,4,1,4,11
56,054dd47f-ebda-4c6c-b9bd-af8891c583ca,problog,5f2605f2c2e4001767673cf890e402df,7,4,8,2,2,3,3,9
57,7239cb41-1bae-4a37-bce1-ae6d0c8a578a,problog,7f8dedf6ee50f80316b30ae8a67a6154,8,3,7,2,2,1,5,9
58,2f8ca4c7-4528-4667-b251-348aa8801aa4,problog,06a0ed8efd6d11aa47dbbda5b2fdf31a,8,0,6,1,3,0,5,9
59,949f2e48-c5a3-48d9-a9b9-4e5a0d339c0b,problog,73d6d01d4efe3bc358faa4c8494cfaf7,6,4,8,1,3,0,6,9
60,420584df-06e3-494f-904e-6333a6bfa649,problog,2e897e40796e732b0fc5843a8df04a97,5,3,9,1,2,2,5,11
61,5d2bb19b-926e-42e9-a05b-d705b1855622,problog,3a82520566f5660f3fb9139031cd9e21,5,2,8,2,2,0,6,9
62,e6b582d1-1a6c-496c-aed8-2a766c679e08,problog,d424bb43bb47e2e6a4a8911091ab4891,4,9,5,0,3,1,5,9
63,3d3c7c93-4ce0-433b-b22e-c76d4bea5ef4,problog,170422e58cdafe516554d55a6fa0c324,9,2,8,0,3,1,4,9
64,12e37653-89d6-4e9c-8c61-3842c4851b15,problog,021d5ecbdedfc5411a2c298b1ea39ae4,3,2,10,0,1,1,6,9
65,acea2c90-263e-4176-8ef9-ef08f90c8775,problog,237a003925c5f2699316b636e3d09787,10,4,4,1,5,2,3,11
66,a0c18a7e-54b8-4e5a-8e1a-0d713704c770,problog,c9a48c5097d1a79302f064efaa393eda,6,2,6,1,1,1,7,11
67,488f33de-a53a-4a87-afd5-6e7fbc532473,problog,bbe4b8e9b5910d5de14e9c1ca2ce41cf,9,5,3,3,4,3,3,11
68,36245f5c-8a55-401a-9fce-e5ea7ad13120,problog,9dc2aa8c1ecd640eb5313fbe72574c62,8,2,7,3,1,2,4,9
69,da31352e-edd6-4811-a049-d54924e1d7af,problog,fbda0dea96b05dd2aaf916dbb50b5e0b,10,6,4,1,4,3,3,11
70,c0e286b7-1531-4aff-8c35-ad645922e032,problog,bf19077ddd7a0367fcf5bba7d2668aed,13,1,7,1,5,1,3,9
71,f733ac63-f405-43db-93ab-8036cd0daacf,problog,92f149a951a5784da7300ffad2d24d5b,9,1,8,1,3,0,4,9
72,1d7289bf-6eb4-4f98-8846-3ecb1315c5c4,problog,570461a2149d8a4e18e93308f3e21c0d,8,4,7,1,2,2,5,9
73,5e2fb145-70fd-4588-a4f6-4afbd306382b,problog,c4d71272f2af416fcb77a4e68ff09d97,6,4,9,1,2,1,6,9
74,3af8b764-ee09-4b0d-a7dd-dce4f6d67be3,problog,514729cf92a523e6380d20dc8de95e3c,5,3,11,1,2,2,4,9
