,id,alg,cell_type_maze_tu,cell_type_maze_s,cell_type_maze_T,cell_type_maze_c,sol_type_maze_tu,sol_type_maze_s,sol_type_maze_d,sol_type_maze_len
0,7a518c2a-c3b6-4cae-b9bb-8bf009239574,AldousBroder,4,11,0,0,2,6,0,13
1,9e63291d-45da-4dcb-910b-1dd2c2fa210e,AldousBroder,4,9,1,0,3,7,1,17
2,bd93a71c-45cf-48fa-a434-6c496b75380d,AldousBroder,4,9,1,0,3,7,1,17
3,596c10c3-5cae-4a3b-8946-bfbff8c10a24,AldousBroder,5,10,0,0,2,6,0,13
4,a8852ca9-5546-493e-a7f9-b6f1f22721db,AldousBroder,4,11,0,0,2,6,0,13
5,353605db-b3b5-431c-8b56-a59a3b947426,AldousBroder,4,9,1,0,3,7,1,17
6,0d3389bd-fa5e-4512-97bd-73f5318f324e,AldousBroder,4,11,0,0,3,6,0,13
7,45ae5d3a-cb09-4ca8-9a98-98f04b4ae192,AldousBroder,4,11,0,0,3,6,0,13
8,68f9ea92-c35b-4b45-910e-b4c446d7f0b3,AldousBroder,5,10,0,0,2,6,0,13
9,7d82aeb8-a052-4983-9211-92f84657de0c,AldousBroder,4,11,0,0,4,5,0,13
10,fd7e95d8-c619-4c1d-8877-f86c7d4b90c5,AldousBroder,4,9,1,0,4,4,1,13
11,e9702aa3-d588-45b8-ab9d-e82159263a86,AldousBroder,4,9,1,0,3,4,1,13
12,251bab1c-70a1-41a2-bf93-f820da80db0a,AldousBroder,4,11,0,0,2,6,0,13
13,eff7e487-9433-4c2b-a58f-c492a162e833,AldousBroder,4,11,0,0,4,5,0,13
14,61035972-c8f3-4eb4-9351-b392c69afecb,AldousBroder,4,9,1,0,3,4,1,13
15,26e4148c-05a4-4862-bab2-732a20fc8778,AldousBroder,5,10,0,0,2,6,0,13
16,7e183be1-178f-484c-aa21-77e9f32143eb,AldousBroder,4,11,0,0,2,6,0,13
17,333adfa0-d077-42fe-b8f6-be4d51484d4b,AldousBroder,4,9,1,0,3,4,1,13
18,4a6d4939-447a-4707-971a-9402fbd9f306,AldousBroder,5,10,0,0,5,7,0,17
19,118d6778-d8c8-476e-8bc4-aeeaea8ecdeb,AldousBroder,2,11,1,0,2,5,1,13
20,c43e3963-e950-4fa1-a020-fd365b015f84,AldousBroder,4,9,1,0,3,7,1,17
21,6ddfb380-8e0b-4065-a060-2956e4b883ea,AldousBroder,4,9,1,0,4,7,1,17
22,adbb79b2-fbbe-45b2-ac56-47fd098ffe5f,AldousBroder,3,10,1,0,1,5,1,13
23,446f06e1-cbb1-4e37-9eba-76967ecd27ff,AldousBroder,4,9,1,0,4,7,1,17
24,61c0a10f-f0e6-4fa7-bacd-4339c2ff3c91,AldousBroder,4,11,0,0,2,6,0,13
25,d72a1f6d-a9cb-4528-bdee-09fdc8c679dc,AldousBroder,3,10,1,0,2,6,0,13
26,db2db108-f7d6-491b-8622-e7b45de48741,AldousBroder,4,9,1,0,3,7,1,17
27,0c60b85c-c66e-4d6c-86a0-176e618c724e,AldousBroder,4,11,0,0,3,6,0,13
28,031ee242-a43e-47c2-9d79-1f5576fc839a,AldousBroder,4,11,0,0,2,6,0,13
29,7e930f7e-f63c-4056-a065-f7dbffce8ef0,AldousBroder,2,11,1,0,2,5,1,13
30,280572de-3edf-4f62-a0dc-6a2f508679f8,AldousBroder,4,11,0,0,3,6,0,13
31,70378dd5-635a-42da-b2be-7028d31168cd,AldousBroder,4,11,0,0,3,6,0,13
32,c17eb5cb-64f7-4c36-bf1e-2bac937bb853,AldousBroder,3,10,1,0,2,5,1,13
33,7aeec797-ee56-4253-b357-57c691a9ece5,AldousBroder,4,9,1,0,3,4,1,13
34,745e572a-2fac-48ce-bd71-ebbcba707e9e,AldousBroder,2,11,1,0,2,5,1,13
35,86ff2480-e773-42b2-807c-82448e68e82c,AldousBroder,4,11,0,0,3,6,0,13
36,9a95cb4d-6a24-4786-904d-32921bda1483,AldousBroder,5,10,0,0,2,6,0,13
37,b8b5fbc1-433f-42a6-923a-4c5746eb6049,AldousBroder,4,9,1,0,3,4,1,13
38,841fe6d2-b241-4c16-ba34-a8a1e8545331,AldousBroder,3,10,1,0,2,5,1,13
39,205e4dd2-80d8-486a-b704-be504d43748e,AldousBroder,4,11,0,0,3,6,0,13
